x0,y0,x1,y1,label,detected,frame
204,571,454,716,1,1,1
1076,503,1133,536,2,1,1
623,462,635,486,3,1,1
951,254,976,273,4,1,1
525,423,536,449,5,1,1
203,571,454,716,1,1,2
1076,503,1133,536,2,1,2
623,462,635,486,3,1,2
950,254,975,274,4,1,2
525,423,536,449,5,1,2
203,571,453,716,1,1,3
1076,503,1133,536,2,1,3
623,462,635,486,3,1,3
949,254,975,275,4,1,3
525,423,536,449,5,1,3
202,571,455,716,1,1,4
1076,503,1133,536,2,1,4
623,462,635,486,3,1,4
945,254,974,276,4,1,4
525,423,536,449,5,1,4
202,571,454,716,1,1,5
1076,503,1133,536,2,1,5
623,462,635,486,3,1,5
944,255,973,276,4,1,5
524,423,536,448,5,1,5
201,571,453,716,1,1,6
1076,503,1133,536,2,1,6
623,462,635,486,3,1,6
943,256,971,276,4,1,6
525,423,535,448,5,1,6
201,571,453,716,1,1,7
1076,503,1133,536,2,1,7
623,462,635,486,3,1,7
942,256,971,277,4,1,7
525,423,535,448,5,1,7
201,571,453,716,1,1,8
1076,503,1133,536,2,1,8
623,462,635,486,3,1,8
941,256,970,278,4,1,8
525,423,535,448,5,1,8
201,571,453,716,1,1,9
1076,503,1133,536,2,1,9
623,462,635,486,3,1,9
941,257,970,279,4,1,9
525,423,535,448,5,1,9
201,571,453,716,1,1,10
1076,503,1133,536,2,1,10
623,462,635,486,3,1,10
940,258,970,278,4,1,10
524,422,536,449,5,1,10
201,571,453,716,1,1,11
1076,503,1133,536,2,1,11
623,462,635,486,3,1,11
939,259,968,279,4,1,11
524,422,536,449,5,1,11
201,571,453,716,1,1,12
1076,503,1133,536,2,1,12
623,462,635,486,3,1,12
938,260,967,279,4,1,12
524,422,536,449,5,1,12
202,571,454,716,1,1,13
1076,503,1133,536,2,1,13
623,462,635,486,3,1,13
937,260,965,279,4,1,13
524,422,536,449,5,1,13
202,571,454,716,1,1,14
1076,503,1133,536,2,1,14
623,462,635,486,3,1,14
935,260,963,281,4,1,14
524,422,536,449,5,1,14
202,571,454,716,1,1,15
1076,503,1133,536,2,1,15
623,462,635,486,3,1,15
934,261,962,282,4,1,15
524,422,536,449,5,1,15
202,571,454,716,1,1,16
1076,503,1133,536,2,1,16
623,462,635,486,3,1,16
933,261,961,283,4,1,16
524,422,536,449,5,1,16
202,571,454,716,1,1,17
1076,503,1133,536,2,1,17
623,462,635,486,3,1,17
933,261,960,284,4,1,17
524,422,536,449,5,1,17
202,571,454,716,1,1,18
1076,503,1133,536,2,1,18
623,462,635,486,3,1,18
931,261,960,284,4,1,18
524,422,536,449,5,1,18
202,571,454,716,1,1,19
1076,503,1133,536,2,1,19
623,462,635,486,3,1,19
928,261,960,285,4,1,19
524,422,536,449,5,1,19
202,571,454,716,1,1,20
1076,503,1133,536,2,1,20
623,462,635,486,3,1,20
928,262,959,286,4,1,20
524,422,536,449,5,1,20
202,571,454,716,1,1,21
1076,503,1133,536,2,1,21
623,462,635,486,3,1,21
927,263,958,286,4,1,21
524,422,536,449,5,1,21
202,571,454,716,1,1,22
1076,503,1133,536,2,1,22
623,462,635,486,3,1,22
926,263,958,287,4,1,22
524,422,536,449,5,1,22
202,571,454,716,1,1,23
1076,503,1133,536,2,1,23
623,462,635,486,3,1,23
926,264,956,287,4,1,23
524,422,536,449,5,1,23
202,571,454,716,1,1,24
1076,503,1133,536,2,1,24
623,462,635,486,3,1,24
925,264,956,288,4,1,24
524,422,536,449,5,1,24
202,571,454,716,1,1,25
1076,503,1133,536,2,1,25
623,462,635,486,3,1,25
924,264,956,288,4,1,25
524,422,536,449,5,1,25
201,571,454,716,1,1,26
1076,503,1133,536,2,1,26
623,462,635,486,3,1,26
924,265,954,288,4,1,26
524,422,536,449,5,1,26
202,571,454,716,1,1,27
1076,503,1133,536,2,1,27
623,462,635,486,3,1,27
923,265,954,289,4,1,27
524,422,536,449,5,1,27
202,571,454,716,1,1,28
1076,503,1133,536,2,1,28
623,462,635,486,3,1,28
921,266,953,289,4,1,28
524,422,536,449,5,1,28
202,571,454,716,1,1,29
1076,503,1133,536,2,1,29
623,462,635,486,3,1,29
921,267,952,289,4,1,29
524,422,536,449,5,1,29
202,571,454,716,1,1,30
1076,503,1133,536,2,1,30
623,462,635,486,3,1,30
920,267,951,290,4,1,30
524,422,536,449,5,1,30
202,571,454,716,1,1,31
1076,503,1133,536,2,1,31
623,462,635,486,3,1,31
918,268,950,290,4,1,31
524,422,536,449,5,1,31
202,571,454,716,1,1,32
1076,503,1133,536,2,1,32
623,462,635,486,3,1,32
917,269,948,291,4,1,32
524,422,536,449,5,1,32
201,571,453,716,1,1,33
1076,503,1133,536,2,1,33
623,462,635,486,3,1,33
917,269,946,291,4,1,33
524,422,536,449,5,1,33
202,571,454,716,1,1,34
1076,503,1133,536,2,1,34
623,462,635,486,3,1,34
912,270,945,292,4,1,34
524,422,536,449,5,1,34
203,571,453,716,1,1,35
1076,503,1133,536,2,1,35
623,462,635,486,3,1,35
911,271,942,292,4,1,35
524,422,536,449,5,1,35
201,571,454,716,1,1,36
1076,503,1133,536,2,1,36
623,462,635,486,3,1,36
909,271,942,293,4,1,36
524,422,536,449,5,1,36
203,571,453,716,1,1,37
1076,503,1133,536,2,1,37
623,462,635,486,3,1,37
909,272,941,293,4,1,37
524,422,536,449,5,1,37
201,571,454,716,1,1,38
1076,503,1133,536,2,1,38
623,462,635,486,3,1,38
909,272,940,294,4,1,38
524,422,536,449,5,1,38
203,571,453,715,1,1,39
1076,503,1133,536,2,1,39
623,462,635,486,3,1,39
909,273,939,294,4,1,39
524,422,536,449,5,1,39
201,571,454,716,1,1,40
1076,503,1133,536,2,1,40
623,462,635,486,3,1,40
909,273,939,295,4,1,40
524,422,536,449,5,1,40
203,571,453,715,1,1,41
1076,503,1133,536,2,1,41
623,462,635,486,3,1,41
